PR,commented_file,point_id,point,code
1000,NoExecutionVariableScope.java,4,避免函数中未使用的形参,"public void setTransientVariablesLocal(Map<String, Object> transientVariables) {
    throw new UnsupportedOperationException(""No execution active, no variables can be set"");
  }
"
1000,NoExecutionVariableScope.java,26,避免重复代码,"throw new UnsupportedOperationException(""No execution active, no variables can be removed"");"
1000,TaskResource.java,26,避免重复代码,if (actionRequest.getTransientVariables() != null)
1000,TaskResource.java,11,未使用equals()函数对 String 作比较,if (var.getName() == null)
1000,ProcessInstanceCreateRequest.java,24,变量/方法/类 命名，要有效清晰表示对应的实际含义,public boolean isTenantSet()
1000,ExecutionResource.java,25,判断逻辑应简洁，不能重复或者无意义,"if (actionRequest.getTransientVariables() != null && actionRequest.getVariables() != null) {
        runtimeService.trigger(execution.getId(), getVariablesToSet(actionRequest.getVariables()), getVariablesToSet(actionRequest.getTransientVariables()));
      } else if (actionRequest.getVariables() != null) {
        runtimeService.trigger(execution.getId(), getVariablesToSet(actionRequest.getVariables()));
      } else {
        runtimeService.trigger(execution.getId());
      }"
1000,ExecutionResource.java,26,避免重复代码,"if (ExecutionActionRequest.ACTION_SIGNAL.equals(actionRequest.getAction())
        || ExecutionActionRequest.ACTION_TRIGGER.equals(actionRequest.getAction())) {
      if (actionRequest.getTransientVariables() != null && actionRequest.getVariables() != null) {
        runtimeService.trigger(execution.getId(), getVariablesToSet(actionRequest.getVariables()), getVariablesToSet(actionRequest.getTransientVariables()));
      } else if (actionRequest.getVariables() != null) {
        runtimeService.trigger(execution.getId(), getVariablesToSet(actionRequest.getVariables()));
      } else {
        runtimeService.trigger(execution.getId());
      }"
1000,ProcessInstanceBuilderImpl.java,24,变量/方法/类 命名，要有效清晰表示对应的实际含义,public ProcessInstanceBuilder name(String processInstanceName)
1000,ProcessInstanceBuilderImpl.java,24,变量/方法/类 命名，要有效清晰表示对应的实际含义,protected String messageName;
1000,VariableScopeImpl.java,24,变量/方法/类 命名，要有效清晰表示对应的实际含义,"protected Map<String, VariableInstance> transientVariabes;"
1000,TriggerCmd.java,26,避免重复代码," public TriggerCmd(String executionId, Map<String, Object> processVariables, Map<String, Object> transientVariables) {
    this(executionId, processVariables);
    this.transientVariables = transientVariables;
  }
"
1000,NoExecutionVariableScope.java,26,避免重复代码,"public void setTransientVariablesLocal(Map<String, Object> transientVariables) {
    throw new UnsupportedOperationException(""No execution active, no variables can be set"");
  }
"
1000,CompleteTaskCmd.java,26,避免重复代码,"this(taskId, variables);"
1000,RuntimeServiceImpl.java,25,判断逻辑应简洁，不能重复或者无意义,if (processInstanceBuilder.getProcessDefinitionId() != null || processInstanceBuilder.getProcessDefinitionKey() != null)
1000,RuntimeServiceImpl.java,26,避免重复代码,"public void trigger(String executionId, Map<String, Object> processVariables, Map<String, Object> transientVariables)"
1000,NoExecutionVariableScope.java,24,变量/方法/类 命名，要有效清晰表示对应的实际含义,"public void setTransientVariablesLocal(Map<String, Object> transientVariables) {
    throw new UnsupportedOperationException(""No execution active, no variables can be set"");
  }
"
1090,SolrSearchServiceImpl.java,24,变量/方法/类 命名，要有效清晰表示对应的实际含义,StringBuilder sb = new StringBuilder();
1090,SolrSearchServiceImpl.java,22,禁止在 equals()中使用 NULL或者null 做比较,"if (!rangeValues[1].equals(""null""))"
2723,TaskRuntimeHelper.java,15,避免对象进行不必要的 NULL或者null 检查,if (authenticatedUserId != null && !authenticatedUserId.isEmpty() && userGroupManager!=null)
2723,TaskRuntimeHelper.java,1,避免未使用的临时变量,"Integer ok = 0;,"
2723,TaskRuntimeHelper.java,25,判断逻辑应简洁，不能有重复或者无意义的判断,"if (task == null) {
                task = taskService.createTaskQuery().taskId(taskId).singleResult();
                //Check this only for tasks from processInstance
                if (task != null) {
                    Integer ok = 0;
                    if (task.getProcessInstanceId() != null) {
                      //Check maybe no candidates for task is set at all
                      List<IdentityLink> identityLinks = taskService.getIdentityLinksForTask(taskId);
                      if (identityLinks == null || identityLinks.isEmpty()) {
                           //We may set here default security policy
                           ok=1;
                      }
                    }
                    if (ok == 0) {
                        task = null;
                    }
                }
            }"
2723,TaskRuntimeHelper.java,24,命名含义需优化,Integer ok = 0;
